USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
semarang1;MIX GT;SF-IAI006-HKM;SEMARANG1
purwokerto1;MIX GT;SF-IAI006-AJI;PURWOKERTO1
purwokerto2;TIDAK AKTIF;TIDAK AKTIF;PURWOKERTO2
purwokerto3;MIX GT;SF-IAI006-AGS;PURWOKERTO3
semarang2;MIX GT;SF-IAI006-AAD;SEMARANG2
semarang3;EXCLUSIVE MT;SF-IAI006-TON;SEMARANG3
semarang4;MIX GT;SF-IAI006-ARI;SEMARANG4
yogyakarta1;EXCLUSIVE MT-GT;SF-CVM005-FIN;YOGYAKARTA1
yogyakarta2;MIX GT;SF-CVM005-ARS;YOGYAKARTA2
semarang5;MIX GT;SF-IAI006-AWY;SEMARANG5
solo1;MIX GT;SF-CVM005-CDI;SOLO1
semarang6;EXCLUSIVE MT;SF-IAI006-DDI;SEMARANG6
purwokerto4;TIDAK AKTIF;TIDAK AKTIF;PURWOKERTO4
semarang7;TIDAK AKTIF;TIDAK AKTIF;SEMARANG7
solo5;EXCLUSIVE MT-GT;SF-CVM005-ITA;SOLO5
semarang8;MIX GT;SF-IAI006-END;SEMARANG8
yogyakarta4;EXCLUSIVE MT;SF-CVM005-FRU;YOGYAKARTA4
purwokerto5;TIDAK AKTIF;TIDAK AKTIF;PURWOKERTO5
yogyakarta5;EXCLUSIVE MT;SF-CVM005-FIT;YOGYAKARTA5
purwokerto6;TIDAK AKTIF;TIDAK AKTIF;PURWOKERTO6
purwokerto7;MIX GT;SF-IAI006-YOK;PURWOKERTO7
solo2;MIX GT;SF-CVM005-HRI;SOLO2
solo7;EXCLUSIVE MT-GT;SF-CVM005-LIN;SOLO7
purwokerto8;MIX GT;SF-IAI006-EKO;PURWOKERTO8
purwokerto9;EXCLUSIVE MT;SF-IAI006-ICA;PURWOKERTO9
purwokerto10;EXCLUSIVE MT;SF-IAI006-AZS;PURWOKERTO10
semarang9;MIX GT;SF-IAI006-IDH;SEMARANG9
yogyakarta7;EXCLUSIVE MT-GT;SF-CVM005-IVA;YOGYAKARTA7
solo6;EXCLUSIVE MT;SF-CVM005-KNA;SOLO6
purwokerto12;EXCLUSIVE MT;SF-IAI006-LAE;PURWOKERTO12
semarang10;TIDAK AKTIF;TIDAK AKTIF;SEMARANG10
purwokerto11;MIX GT;SF-IAI006-MIM;PURWOKERTO11
semarang11;TIDAK AKTIF;TIDAK AKTIF;SEMARANG11
